user,item,rating,item_name
1,27,2.6778778588331273,차가운홍차7
1,28,2.382409608642661,차가운홍차8
1,38,0.9520343458526397,따뜻한홍차8
1,21,2.359306590642389,차가운홍차1
1,24,2.4474119751422276,차가운홍차4
1,15,2.2953474682576744,따듯한커피5
1,12,2.3617242205123747,따듯한커피2
1,40,1.2350582618373493,따뜻한홍차10
1,2,3.937671600443958,차가운커피2
1,19,2.7914770546362466,따듯한커피9
1,5,4.133221935418943,차가운커피5
1,11,2.103386513903801,따듯한커피1
1,22,2.5656543677491848,차가운홍차2
1,14,2.2734057929940352,따듯한커피4
1,39,0.6580806030909521,따뜻한홍차9
1,10,4.0155785284462455,차가운커피10
1,35,0.8872251479374382,따뜻한홍차5
1,29,2.194201472305724,차가운홍차9
1,36,1.0140882323908083,따뜻한홍차6
1,4,3.9898881147892618,차가운커피4
2,29,2.4042519036856387,차가운홍차9
2,34,0.6540114042603298,따뜻한홍차4
2,15,2.3108122310582084,따듯한커피5
2,10,3.64049588581016,차가운커피10
2,9,4.3497549570529115,차가운커피9
2,4,3.76555454668599,차가운커피4
2,16,2.458835538184907,따듯한커피6
2,1,4.098146580214965,차가운커피1
2,2,4.094224303849516,차가운커피2
2,7,3.988152542544238,차가운커피7
2,39,0.7039284459114408,따뜻한홍차9
2,36,1.1292677339064274,따뜻한홍차6
2,27,2.7880810129986067,차가운홍차7
2,20,2.222819959705023,따듯한커피10
2,13,2.7075214389235147,따듯한커피3
2,23,2.5104241504329856,차가운홍차3
2,14,2.765143491026212,따듯한커피4
2,32,1.400811738765143,따뜻한홍차2
2,30,2.908625441419383,차가운홍차10
2,21,2.62113678971158,차가운홍차1
3,21,2.729578350094369,차가운홍차1
3,30,2.440778217693462,차가운홍차10
3,39,1.2371858796215176,따뜻한홍차9
3,40,0.9851253903491385,따뜻한홍차10
3,3,4.228747789098866,차가운커피3
3,31,0.6956689176748314,따뜻한홍차1
3,6,4.089089724776058,차가운커피6
3,29,2.4940080933075803,차가운홍차9
3,34,0.9601575268515852,따뜻한홍차4
3,7,3.7763948141835195,차가운커피7
3,9,4.583121004058971,차가운커피9
3,1,3.8191191929660664,차가운커피1
